bilateral_pair_id,source_group,left_reference_plate,right_reference_plate,layout_match_cost,left_response_area_fraction,right_response_area_fraction,absolute_area_fraction_delta,response_jaccard_similarity,response_xor_fraction,mean_common_response_hue_distance,p90_common_response_hue_distance,orientation_status,clinical_interpretation,reference_pair_anomaly_score_0_1,clinical_probability,status
LCT-BP-007,2,LCT-Z0-013,LCT-Z0-014,0.0005,0.87514,0.20504,0.6701,0.23132,0.67432,21.3646,57.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,1.0,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-006,2,LCT-Z0-012,LCT-Z0-011,0.00049,0.82592,0.25341,0.5725,0.26432,0.62804,64.5282,88.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.821679,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-011,5,LCT-Z0-023,LCT-Z0-024,0.0,0.56801,0.60559,0.03759,0.54573,0.34491,27.2363,66.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.690511,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-002,1,LCT-Z0-002,LCT-Z0-004,0.0,0.14214,0.61055,0.46841,0.13405,0.57475,30.537,69.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.527341,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-008,2,LCT-Z0-015,LCT-Z0-016,0.0,0.74707,0.26716,0.47991,0.29762,0.54898,48.4187,85.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.46996,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-010,5,LCT-Z0-021,LCT-Z0-022,0.0001,0.81458,0.55431,0.26027,0.48951,0.46915,50.1408,86.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.307417,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-004,1,LCT-Z0-007,LCT-Z0-009,0.0,0.00984,0.30741,0.29757,0.00868,0.31179,24.3613,59.2,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.305428,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-009,5,LCT-Z0-020,LCT-Z0-019,0.0001,0.79902,0.55791,0.24111,0.56196,0.38054,39.4494,83.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.292526,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-001,1,LCT-Z0-001,LCT-Z0-003,0.0,0.10384,0.36143,0.25759,0.23387,0.28889,48.8106,77.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.214174,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-003,1,LCT-Z0-005,LCT-Z0-006,0.0,0.00929,0.39223,0.38293,0.009,0.39436,54.8333,72.0,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.18415,,LAYOUT_INFERRED_REFERENCE_ONLY
LCT-BP-005,1,LCT-Z0-008,LCT-Z0-010,0.0,0.02501,0.33587,0.31085,0.04784,0.32793,34.0752,69.3,UNRESOLVED_REFERENCE_FIGURE,UNASSIGNED,0.0,,LAYOUT_INFERRED_REFERENCE_ONLY
