candidate,execution_status,held_out_positive_folds,positive_margins,median_margin,improved_vs_saved_A,contact_certainty,selection_eligible,independent_negative_tests,clinical_claim
A_saved_global,FITTED_DIAGNOSTIC,8,8,0.8205083387445644,0,NOT_APPLICABLE_GLOBAL,False,0,NONE
M_response_morphology,FITTED_DIAGNOSTIC,8,7,0.166397630824385,0,UNKNOWN,False,0,NONE
D_0038_global_anchor,FITTED_DIAGNOSTIC,8,8,0.3012363220947674,0,UNKNOWN,False,0,NONE
B_physical_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
C_fixed_pool_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
C_mean_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
C_max_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
C_top3_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
F_photometric_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
B_dino_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
F_local_fusion_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
F_photometric_0038_anchor_conservative_chromatic,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
B_physical_unknown_full_field,FITTED_DIAGNOSTIC,8,8,0.08083997288210146,0,UNKNOWN,False,0,NONE
C_fixed_pool_unknown_full_field,FITTED_DIAGNOSTIC,8,8,0.2787346798120738,0,UNKNOWN,False,0,NONE
C_mean_unknown_full_field,FITTED_DIAGNOSTIC,8,8,0.16720829139269644,0,UNKNOWN,False,0,NONE
C_max_unknown_full_field,FITTED_DIAGNOSTIC,8,4,-0.0042737609282690325,0,UNKNOWN,False,0,NONE
C_top3_unknown_full_field,FITTED_DIAGNOSTIC,8,3,-0.0019087739635633705,0,UNKNOWN,False,0,NONE
F_photometric_unknown_full_field,FITTED_DIAGNOSTIC,8,8,0.3535514708843821,0,UNKNOWN,False,0,NONE
B_dino_unknown_full_field,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
F_local_fusion_unknown_full_field,SKIPPED_MISSING_CHANNEL,0,0,,,UNKNOWN,False,0,NONE
F_photometric_0038_anchor_unknown_full_field,FITTED_DIAGNOSTIC,8,8,0.5192896180223823,0,UNKNOWN,False,0,NONE
A_reencoded_global,FITTED_DIAGNOSTIC,8,8,0.8832467910620845,5,NOT_APPLICABLE_GLOBAL,False,0,NONE
