plate_id,reference_anomaly_score_0_1,embedding_norm,nearest_neighbors_json,clinical_probability,status,heuristic_morphology_v0
LCT-Z0-025,1.0,76.77747,"[{""plate_id"": ""LCT-Z0-013"", ""cosine_distance"": 0.7628}, {""plate_id"": ""LCT-Z0-011"", ""cosine_distance"": 0.892}, {""plate_id"": ""LCT-Z0-006"", ""cosine_distance"": 0.8964}, {""plate_id"": ""LCT-Z0-026"", ""cosine_distance"": 0.9599}, {""plate_id"": ""LCT-Z0-003"", ""cosine_distance"": 0.96}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-012,0.95726,65.536171,"[{""plate_id"": ""LCT-Z0-010"", ""cosine_distance"": 0.5706}, {""plate_id"": ""LCT-Z0-011"", ""cosine_distance"": 0.7719}, {""plate_id"": ""LCT-Z0-003"", ""cosine_distance"": 0.8027}, {""plate_id"": ""LCT-Z0-020"", ""cosine_distance"": 0.8765}, {""plate_id"": ""LCT-Z0-009"", ""cosine_distance"": 0.879}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-003,0.945141,66.928631,"[{""plate_id"": ""LCT-Z0-006"", ""cosine_distance"": 0.4841}, {""plate_id"": ""LCT-Z0-010"", ""cosine_distance"": 0.5992}, {""plate_id"": ""LCT-Z0-009"", ""cosine_distance"": 0.684}, {""plate_id"": ""LCT-Z0-012"", ""cosine_distance"": 0.8027}, {""plate_id"": ""LCT-Z0-008"", ""cosine_distance"": 0.8328}]",,REFERENCE_ONLY_NOT_CLINICAL,branched/complex
LCT-Z0-013,0.937596,63.415909,"[{""plate_id"": ""LCT-Z0-011"", ""cosine_distance"": 0.6508}, {""plate_id"": ""LCT-Z0-025"", ""cosine_distance"": 0.7628}, {""plate_id"": ""LCT-Z0-016"", ""cosine_distance"": 0.7773}, {""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.795}, {""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.8024}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-015,0.912731,55.440345,"[{""plate_id"": ""LCT-Z0-021"", ""cosine_distance"": 0.6662}, {""plate_id"": ""LCT-Z0-020"", ""cosine_distance"": 0.8269}, {""plate_id"": ""LCT-Z0-006"", ""cosine_distance"": 0.878}, {""plate_id"": ""LCT-Z0-016"", ""cosine_distance"": 0.8951}, {""plate_id"": ""LCT-Z0-012"", ""cosine_distance"": 0.9261}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-021,0.576278,159.127931,"[{""plate_id"": ""LCT-Z0-020"", ""cosine_distance"": 0.1859}, {""plate_id"": ""LCT-Z0-015"", ""cosine_distance"": 0.6662}, {""plate_id"": ""LCT-Z0-004"", ""cosine_distance"": 0.6686}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.8006}, {""plate_id"": ""LCT-Z0-025"", ""cosine_distance"": 1.0963}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-020,0.549207,53.92809,"[{""plate_id"": ""LCT-Z0-021"", ""cosine_distance"": 0.1859}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.6275}, {""plate_id"": ""LCT-Z0-004"", ""cosine_distance"": 0.8183}, {""plate_id"": ""LCT-Z0-015"", ""cosine_distance"": 0.8269}, {""plate_id"": ""LCT-Z0-012"", ""cosine_distance"": 0.8765}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-006,0.491135,38.78651,"[{""plate_id"": ""LCT-Z0-009"", ""cosine_distance"": 0.1231}, {""plate_id"": ""LCT-Z0-010"", ""cosine_distance"": 0.4753}, {""plate_id"": ""LCT-Z0-003"", ""cosine_distance"": 0.4841}, {""plate_id"": ""LCT-Z0-004"", ""cosine_distance"": 0.7524}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.7657}]",,REFERENCE_ONLY_NOT_CLINICAL,branched/complex
LCT-Z0-026,0.467379,40.791239,"[{""plate_id"": ""LCT-Z0-017"", ""cosine_distance"": 0.0237}, {""plate_id"": ""LCT-Z0-018"", ""cosine_distance"": 0.3686}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.416}, {""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.4518}, {""plate_id"": ""LCT-Z0-019"", ""cosine_distance"": 0.5258}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-017,0.440881,39.288403,"[{""plate_id"": ""LCT-Z0-026"", ""cosine_distance"": 0.0237}, {""plate_id"": ""LCT-Z0-018"", ""cosine_distance"": 0.3731}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.4023}, {""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.4094}, {""plate_id"": ""LCT-Z0-024"", ""cosine_distance"": 0.5115}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
